answer,cat,question,subcat
the Constitution,AMERICAN GOVERNMENT,1. What is the supreme law of the land? ,1A: Principles of American Democracy
"sets up the government
defines the government
protects basic rights of Americans",AMERICAN GOVERNMENT,2. What does the Constitution do? ,1A: Principles of American Democracy
We the People,AMERICAN GOVERNMENT,3. The idea of self-government is in the first three words of the Constitution. What are these words? ,1A: Principles of American Democracy
"a change (to the Constitution)
an addition (to the Constitution)",AMERICAN GOVERNMENT,4. What is an amendment? ,1A: Principles of American Democracy
the Bill of Rights,AMERICAN GOVERNMENT,5. What do we call the first ten amendments to the Constitution? ,1A: Principles of American Democracy
"speech
religion
assembly
press
petition the government",AMERICAN GOVERNMENT,6. What is one right or freedom from the First Amendment?* ,1A: Principles of American Democracy
twenty-seven (27),AMERICAN GOVERNMENT,7. How many amendments does the Constitution have? ,1A: Principles of American Democracy
"announced our independence (from Great Britain)
declared our independence (from Great Britain)
said that the United States is free (from Great Britain)",AMERICAN GOVERNMENT,8. What did the Declaration of Independence do? ,1A: Principles of American Democracy
"life
liberty
pursuit of happiness",AMERICAN GOVERNMENT,9. What are two rights in the Declaration of Independence? ,1A: Principles of American Democracy
"You can practice any religion, or not practice a religion.",AMERICAN GOVERNMENT,10. What is freedom of religion? ,1A: Principles of American Democracy
"capitalist economy
market economy",AMERICAN GOVERNMENT,11. What is the economic system in the United States?* ,1A: Principles of American Democracy
"Everyone must follow the law.
Leaders must obey the law.
Government must obey the law.
No one is above the law.",AMERICAN GOVERNMENT,12. What is the “rule of law”? ,1A: Principles of American Democracy
"Congress
legislative
President
executive
the courts
judicial",AMERICAN GOVERNMENT,13. Name one branch or part of the government.* ,1B: System of Government
"checks and balances
separation of powers",AMERICAN GOVERNMENT,14. What stops one branch of government from becoming too powerful? ,1B: System of Government
the President,AMERICAN GOVERNMENT,15. Who is in charge of the executive branch? ,1B: System of Government
"Congress
Senate and House (of Representatives)
(U.S. or national) legislature",AMERICAN GOVERNMENT,16. Who makes federal laws? ,1B: System of Government
the Senate and House (of Representatives),AMERICAN GOVERNMENT,17. What are the two parts of the U.S. Congress?* ,1B: System of Government
one hundred (100),AMERICAN GOVERNMENT,18. How many U.S. Senators are there? ,1B: System of Government
six (6),AMERICAN GOVERNMENT,19. We elect a U.S. Senator for how many years? ,1B: System of Government
Answers will vary. [Dianne Feinstein (92);Kamala Harris (17) @ CA],AMERICAN GOVERNMENT,20. Who is one of your state’s U.S. Senators now?* ,1B: System of Government
four hundred thirty-five (435),AMERICAN GOVERNMENT,21. The House of Representatives has how many voting members? ,1B: System of Government
two (2),AMERICAN GOVERNMENT,22. We elect a U.S. Representative for how many years? ,1B: System of Government
